epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.93734,2.73012,5.00421,1.40978,7e-05,0.01667,9e-05,2e-05,2.49558,4.21928,1.05518,9.999e-05,9.999e-05,9.999e-05
2,10.7755,2.5542,4.54847,1.1863,0.25028,0.06386,0.14082,0.10508,2.85699,4.34975,1.23111,0.000209697,0.000209697,0.000209697
3,15.6316,2.5713,4.03899,1.13095,0.0663,0.08773,0.07589,0.04338,2.7651,4.30733,1.20773,0.000317937,0.000317937,0.000317937
4,19.5674,2.56096,3.51649,1.11148,0.03737,0.12705,0.07088,0.04354,2.88597,4.17228,1.13351,0.000424711,0.000424711,0.000424711
5,22.9258,2.51875,3.09439,1.11496,1,0.02359,0.10546,0.05175,2.63445,4.02722,1.11526,0.000530018,0.000530018,0.000530018
6,28.0761,2.56431,2.85715,1.10646,1,0.0271,0.11076,0.04425,2.41986,3.74923,1.09933,0.000633859,0.000633859,0.000633859
7,31.4355,2.48344,2.58526,1.11099,1,0.0284,0.1337,0.05244,2.35085,3.54141,1.05909,0.000736233,0.000736233,0.000736233
8,34.7918,2.44411,2.43182,1.1071,0.85146,0.05818,0.1558,0.06248,2.38439,3.05458,1.08949,0.000837141,0.000837141,0.000837141
9,38.1536,2.36582,2.25841,1.0981,0.88634,0.05508,0.19751,0.07305,2.45756,2.75991,1.09178,0.000936582,0.000936582,0.000936582
10,41.5085,2.47274,2.2853,1.10511,0.61378,0.18282,0.25439,0.09763,2.29657,2.27371,1.07399,0.00103456,0.00103456,0.00103456
11,44.8477,2.35456,2.12925,1.08067,0.59736,0.25667,0.29214,0.11928,2.25445,2.07542,1.06441,0.00103767,0.00103767,0.00103767
12,48.2072,2.37947,2.09764,1.09436,0.60185,0.26925,0.30653,0.11303,2.31639,1.94139,1.11186,0.00103034,0.00103034,0.00103034
13,51.5729,2.30493,2.06347,1.08245,0.52227,0.27293,0.31807,0.1191,2.24183,1.86327,1.08552,0.00102301,0.00102301,0.00102301
14,54.9641,2.25598,1.96103,1.06991,0.30087,0.37834,0.31738,0.13648,2.19487,1.70641,1.07562,0.00101568,0.00101568,0.00101568
15,58.3662,2.32189,1.95136,1.06121,0.30423,0.40515,0.32229,0.13137,2.21681,1.71575,1.0741,0.00100834,0.00100834,0.00100834
16,61.7897,2.27423,1.90463,1.04343,0.3994,0.3672,0.38347,0.14972,2.16596,1.68238,1.07372,0.00100101,0.00100101,0.00100101
17,65.1871,2.30043,1.87531,1.04226,0.39734,0.42524,0.41038,0.15961,2.19778,1.67463,1.07574,0.000993678,0.000993678,0.000993678
18,68.6045,2.20978,1.85088,1.05005,0.4491,0.42338,0.40924,0.16682,2.14244,1.61825,1.05994,0.000986346,0.000986346,0.000986346
19,71.9768,2.2032,1.8246,1.03694,0.40808,0.39181,0.37342,0.171,2.17666,1.58595,1.06765,0.000979013,0.000979013,0.000979013
20,77.9464,2.2351,1.78961,1.03455,0.43722,0.40808,0.38817,0.16171,2.17216,1.56694,1.0794,0.000971681,0.000971681,0.000971681
21,83.1388,2.2466,1.77758,1.02902,0.4397,0.40844,0.40228,0.1697,2.13969,1.56637,1.05674,0.000964348,0.000964348,0.000964348
22,86.5353,2.26418,1.79002,1.05139,0.45667,0.38875,0.40637,0.18207,2.10958,1.54435,1.03652,0.000957015,0.000957015,0.000957015
23,90.0068,2.26278,1.79884,1.06609,0.48422,0.3676,0.39943,0.16197,2.15358,1.52029,1.05514,0.000949683,0.000949683,0.000949683
24,93.513,2.28981,1.71416,1.05067,0.41889,0.39255,0.38517,0.14771,2.19282,1.50668,1.0858,0.00094235,0.00094235,0.00094235
25,96.9603,2.20562,1.72502,1.02363,0.44735,0.41491,0.40434,0.16127,2.1619,1.48806,1.05709,0.000935018,0.000935018,0.000935018
26,100.397,2.19031,1.71707,1.01321,0.49686,0.4285,0.4516,0.21605,2.10822,1.48388,1.02411,0.000927685,0.000927685,0.000927685
27,103.905,2.21369,1.71976,1.0151,0.47303,0.41933,0.43858,0.20803,2.06732,1.48728,1.03562,0.000920352,0.000920352,0.000920352
28,107.25,2.13971,1.62848,1.03415,0.44017,0.40217,0.40725,0.18936,2.13014,1.48199,1.06672,0.00091302,0.00091302,0.00091302
29,110.672,2.16754,1.67563,1.02887,0.52429,0.40197,0.44098,0.18984,2.15451,1.44293,1.06686,0.000905687,0.000905687,0.000905687
30,114.097,2.10574,1.57579,1.017,0.53716,0.45556,0.47394,0.20303,2.1438,1.39593,1.05037,0.000898355,0.000898355,0.000898355
31,117.519,2.16195,1.61399,1.01134,0.49948,0.44314,0.44542,0.19673,2.13087,1.40534,1.0477,0.000891022,0.000891022,0.000891022
32,120.965,2.12678,1.56157,1.02231,0.70941,0.44464,0.44222,0.19276,2.11027,1.40951,1.03577,0.000883689,0.000883689,0.000883689
33,124.361,2.10567,1.56249,1.0016,0.80701,0.36804,0.4339,0.17942,2.15297,1.43363,1.05074,0.000876357,0.000876357,0.000876357
34,127.814,2.12085,1.57124,1.01005,0.563,0.40681,0.46868,0.19052,2.14141,1.38129,1.04097,0.000869024,0.000869024,0.000869024
35,131.262,2.05275,1.50011,1.00598,0.58863,0.46592,0.50488,0.21857,2.07891,1.33076,1.0217,0.000861692,0.000861692,0.000861692
36,134.725,2.09799,1.48992,1.02604,0.5534,0.45854,0.50357,0.21958,2.11555,1.33398,1.03573,0.000854359,0.000854359,0.000854359
37,138.114,2.09596,1.50085,1.03192,0.56307,0.40761,0.46585,0.20535,2.23055,1.39077,1.07697,0.000847026,0.000847026,0.000847026
38,141.525,2.11311,1.5365,0.99799,0.55655,0.4763,0.48268,0.21551,2.09323,1.35019,1.03885,0.000839694,0.000839694,0.000839694
39,144.976,2.14715,1.63194,1.01388,0.54878,0.50147,0.48638,0.21951,2.08312,1.33932,1.03012,0.000832361,0.000832361,0.000832361
40,148.375,2.10243,1.525,0.99098,0.53237,0.4889,0.46161,0.19811,2.07894,1.35786,1.04211,0.000825029,0.000825029,0.000825029
41,151.769,2.08442,1.54929,1.00371,0.49903,0.4576,0.44097,0.18576,2.11009,1.36794,1.05495,0.000817696,0.000817696,0.000817696
42,155.208,2.04544,1.47976,0.99015,0.59687,0.47923,0.51599,0.21271,2.046,1.36747,1.02747,0.000810363,0.000810363,0.000810363
43,158.618,2.00341,1.45936,1.00077,0.59106,0.46574,0.51601,0.22936,2.0515,1.34938,1.04702,0.000803031,0.000803031,0.000803031
44,162.048,2.02418,1.45456,0.99504,0.58271,0.44822,0.50398,0.22862,2.09921,1.33866,1.06765,0.000795698,0.000795698,0.000795698
45,165.481,2.05562,1.44874,0.99923,0.8141,0.44871,0.487,0.20779,2.14439,1.3514,1.08877,0.000788366,0.000788366,0.000788366
46,168.923,2.02204,1.42049,0.99764,0.77674,0.46272,0.45448,0.16616,2.18548,1.3845,1.0913,0.000781033,0.000781033,0.000781033
47,172.262,2.0135,1.41464,1.00146,0.80729,0.41599,0.46295,0.19208,2.23136,1.38236,1.08128,0.0007737,0.0007737,0.0007737
48,175.655,1.97599,1.34537,0.99908,0.81252,0.48508,0.49482,0.2368,2.0978,1.32356,1.03887,0.000766368,0.000766368,0.000766368
49,179.102,2.01347,1.44018,0.98507,0.82479,0.4711,0.50724,0.25514,2.01769,1.30547,1.01929,0.000759035,0.000759035,0.000759035
50,182.58,1.99293,1.40578,0.98521,0.83387,0.44046,0.49823,0.24117,2.05599,1.3303,1.03198,0.000751703,0.000751703,0.000751703
51,186.016,2.02749,1.43196,0.98754,0.85165,0.44568,0.50219,0.23073,2.06507,1.33424,1.03202,0.00074437,0.00074437,0.00074437
52,189.44,2.02601,1.44772,0.97517,0.81726,0.46271,0.51637,0.24443,2.02796,1.31369,1.01967,0.000737037,0.000737037,0.000737037
53,192.85,2.0197,1.3911,0.97808,0.82991,0.47939,0.51469,0.24228,2.05986,1.32318,1.01856,0.000729705,0.000729705,0.000729705
54,196.291,2.01656,1.37196,0.98806,0.87628,0.46992,0.53766,0.2228,2.06385,1.30344,1.03521,0.000722372,0.000722372,0.000722372
55,199.755,1.9808,1.34379,0.97037,0.83918,0.51004,0.54225,0.21119,2.06942,1.29185,1.03943,0.00071504,0.00071504,0.00071504
56,203.196,1.97797,1.33828,0.96743,0.83519,0.51663,0.53205,0.24128,2.06391,1.26693,1.02342,0.000707707,0.000707707,0.000707707
57,206.689,2.00537,1.37266,0.98512,0.83524,0.53732,0.53931,0.25777,2.04414,1.26947,1.01762,0.000700374,0.000700374,0.000700374
58,210.167,1.96114,1.31745,0.98031,0.83313,0.49262,0.51475,0.21255,2.13093,1.39415,1.05073,0.000693042,0.000693042,0.000693042
59,213.603,2.05563,1.37713,0.97053,0.83151,0.45756,0.48586,0.20353,2.12139,1.42736,1.04827,0.000685709,0.000685709,0.000685709
60,217.037,1.96594,1.32587,0.96659,0.83371,0.4921,0.50747,0.22388,2.07757,1.39735,1.03234,0.000678377,0.000678377,0.000678377
61,220.484,1.94958,1.31426,0.97064,0.84325,0.4783,0.50502,0.21727,2.0611,1.38032,1.03048,0.000671044,0.000671044,0.000671044
62,223.886,1.91812,1.26482,0.9668,0.82208,0.4528,0.49803,0.20139,2.0816,1.4051,1.04389,0.000663711,0.000663711,0.000663711
63,227.306,1.90229,1.25693,0.98058,0.83299,0.47626,0.51979,0.2302,2.0271,1.36262,1.02365,0.000656379,0.000656379,0.000656379
64,230.759,1.94398,1.26494,0.96741,0.85513,0.44823,0.50625,0.22218,2.03893,1.35131,1.02544,0.000649046,0.000649046,0.000649046
65,234.196,1.88243,1.24287,0.96354,0.83562,0.43441,0.49597,0.21529,2.05527,1.33754,1.03662,0.000641714,0.000641714,0.000641714
66,237.662,1.92393,1.2856,0.96978,0.817,0.43293,0.49162,0.21283,2.11616,1.3416,1.05304,0.000634381,0.000634381,0.000634381
67,241.095,1.92,1.27911,0.9583,0.80817,0.47649,0.50587,0.23942,2.02077,1.30439,1.02397,0.000627048,0.000627048,0.000627048
68,244.541,1.93035,1.29375,0.96643,0.7743,0.49388,0.50645,0.23883,2.02688,1.29852,1.02241,0.000619716,0.000619716,0.000619716
69,248.007,1.91109,1.28179,0.95766,0.78704,0.50059,0.50325,0.22401,2.09625,1.32237,1.04024,0.000612383,0.000612383,0.000612383
70,251.544,1.94776,1.27013,0.95856,0.84056,0.46588,0.50565,0.21348,2.06723,1.31747,1.04856,0.000605051,0.000605051,0.000605051
71,255.029,1.96296,1.2828,0.95924,0.87064,0.45734,0.52183,0.22649,2.05653,1.28693,1.05632,0.000597718,0.000597718,0.000597718
72,258.496,1.87885,1.28431,0.98055,0.86166,0.46011,0.51438,0.22317,2.06965,1.27945,1.06984,0.000590385,0.000590385,0.000590385
73,262.012,1.89723,1.25174,0.96898,0.85887,0.47081,0.49705,0.20702,2.13437,1.30358,1.09572,0.000583053,0.000583053,0.000583053
74,265.515,1.90197,1.2776,0.96725,0.802,0.47437,0.49517,0.22865,2.01448,1.2957,1.06155,0.00057572,0.00057572,0.00057572
75,268.996,1.83155,1.20777,0.9497,0.83991,0.46414,0.50252,0.23593,2.02259,1.28255,1.06403,0.000568388,0.000568388,0.000568388
76,272.418,1.83227,1.20974,0.95779,0.82022,0.45277,0.50802,0.22368,2.03709,1.29439,1.06222,0.000561055,0.000561055,0.000561055
77,275.915,1.86955,1.20017,0.96312,0.80909,0.45849,0.49794,0.20612,2.08753,1.34741,1.06421,0.000553722,0.000553722,0.000553722
78,279.363,1.81681,1.18255,0.94483,0.79411,0.48013,0.50425,0.23402,2.01057,1.31826,1.04356,0.00054639,0.00054639,0.00054639
79,282.841,1.89742,1.23914,0.95537,0.85878,0.42802,0.52165,0.24421,1.97889,1.29876,1.03934,0.000539057,0.000539057,0.000539057
80,287.991,1.88582,1.25153,0.94128,0.83739,0.46247,0.51542,0.23627,2.00471,1.28165,1.04207,0.000531725,0.000531725,0.000531725
81,291.449,1.88313,1.20738,0.95128,0.89489,0.42988,0.50267,0.22216,2.0242,1.29586,1.03927,0.000524392,0.000524392,0.000524392
82,294.961,1.91838,1.23866,0.95048,0.86148,0.44626,0.53321,0.24629,2.04252,1.28047,1.02577,0.000517059,0.000517059,0.000517059
83,298.473,1.90286,1.22011,0.96011,0.87423,0.46794,0.53561,0.24491,2.08849,1.28886,1.03399,0.000509727,0.000509727,0.000509727
84,301.933,1.84151,1.15754,0.96797,0.81541,0.47423,0.51543,0.23445,2.11206,1.30263,1.04641,0.000502394,0.000502394,0.000502394
85,305.429,1.88676,1.17548,0.94716,0.84732,0.48643,0.53622,0.22642,2.06701,1.32681,1.03813,0.000495062,0.000495062,0.000495062
86,308.913,1.8692,1.20252,0.95205,0.86042,0.48113,0.5459,0.25013,2.03826,1.29549,1.04761,0.000487729,0.000487729,0.000487729
87,312.4,1.91621,1.23468,0.94457,0.82101,0.47583,0.52924,0.24804,2.03337,1.26525,1.05651,0.000480396,0.000480396,0.000480396
88,315.897,1.84824,1.19542,0.94811,0.83591,0.45947,0.53871,0.25429,2.05018,1.26458,1.0711,0.000473064,0.000473064,0.000473064
89,319.416,1.84858,1.18483,0.94599,0.8441,0.47341,0.55327,0.27034,2.07533,1.27409,1.07518,0.000465731,0.000465731,0.000465731
90,322.968,1.84488,1.16396,0.94867,0.85676,0.47756,0.52256,0.24635,2.03826,1.23294,1.07292,0.000458399,0.000458399,0.000458399
91,326.469,1.79236,1.15196,0.93804,0.81896,0.46748,0.50625,0.22495,2.03751,1.24662,1.07525,0.000451066,0.000451066,0.000451066
92,329.98,1.81019,1.18845,0.95327,0.84062,0.4561,0.49926,0.22203,2.05378,1.24861,1.08701,0.000443733,0.000443733,0.000443733
93,333.489,1.82026,1.15262,0.93668,0.78921,0.50135,0.53512,0.2503,2.07923,1.24429,1.08482,0.000436401,0.000436401,0.000436401
94,337.032,1.78824,1.14781,0.93144,0.80998,0.48991,0.52812,0.26215,2.05749,1.23773,1.05976,0.000429068,0.000429068,0.000429068
95,340.59,1.85448,1.17417,0.94019,0.83702,0.46682,0.53976,0.25992,2.05475,1.23841,1.06059,0.000421736,0.000421736,0.000421736
96,344.029,1.76076,1.13985,0.95052,0.81208,0.48074,0.52438,0.23173,2.06167,1.25391,1.05796,0.000414403,0.000414403,0.000414403
97,347.518,1.76171,1.12924,0.93746,0.80905,0.48857,0.50716,0.21403,2.08578,1.24138,1.0851,0.00040707,0.00040707,0.00040707
98,351.088,1.77904,1.14152,0.93772,0.85305,0.44722,0.5387,0.25558,2.05528,1.2334,1.0885,0.000399738,0.000399738,0.000399738
99,354.64,1.78111,1.14353,0.92238,0.83115,0.46142,0.53382,0.25139,2.03256,1.2347,1.08067,0.000392405,0.000392405,0.000392405
100,358.164,1.76693,1.1383,0.9359,0.82094,0.49264,0.53952,0.25697,2.03395,1.23665,1.07103,0.000385073,0.000385073,0.000385073
101,361.693,1.7706,1.11933,0.92499,0.81545,0.5109,0.54103,0.26138,2.02692,1.24623,1.06162,0.00037774,0.00037774,0.00037774
102,365.318,1.77016,1.11669,0.92712,0.8229,0.51196,0.54307,0.25671,2.01567,1.25452,1.06328,0.000370407,0.000370407,0.000370407
103,368.797,1.75643,1.10816,0.9308,0.80047,0.49093,0.53623,0.23797,2.04559,1.26139,1.07199,0.000363075,0.000363075,0.000363075
104,372.361,1.8077,1.12833,0.93125,0.78554,0.49113,0.52046,0.22451,2.08536,1.27019,1.07478,0.000355742,0.000355742,0.000355742
105,375.917,1.77841,1.10684,0.92409,0.8081,0.47468,0.53106,0.24975,2.04239,1.25649,1.06337,0.00034841,0.00034841,0.00034841
106,379.435,1.73874,1.09776,0.92968,0.84287,0.48082,0.53092,0.26522,2.03251,1.2464,1.06158,0.000341077,0.000341077,0.000341077
107,382.979,1.68734,1.06391,0.92412,0.87338,0.45821,0.52499,0.24828,2.05728,1.26686,1.07599,0.000333744,0.000333744,0.000333744
108,386.485,1.8125,1.16217,0.94948,0.78571,0.50114,0.50046,0.22271,2.09667,1.28301,1.09499,0.000326412,0.000326412,0.000326412
109,390.029,1.71832,1.0756,0.93031,0.8661,0.45346,0.50115,0.23143,2.09068,1.28117,1.0918,0.000319079,0.000319079,0.000319079
110,393.563,1.74762,1.09571,0.92409,0.84356,0.48889,0.54324,0.27844,2.02917,1.25661,1.06567,0.000311747,0.000311747,0.000311747
111,397.078,1.77231,1.07557,0.9349,0.84314,0.49367,0.53785,0.27751,2.0427,1.27282,1.05292,0.000304414,0.000304414,0.000304414
112,400.593,1.7388,1.07145,0.93143,0.84093,0.49824,0.52566,0.26318,2.07232,1.28012,1.06143,0.000297081,0.000297081,0.000297081
113,404.135,1.76207,1.09033,0.91723,0.86363,0.49246,0.52485,0.245,2.09773,1.30193,1.07674,0.000289749,0.000289749,0.000289749
114,407.658,1.73662,1.09908,0.92783,0.85477,0.50113,0.54789,0.24791,2.07675,1.29089,1.07424,0.000282416,0.000282416,0.000282416
115,411.166,1.726,1.09492,0.93375,0.81333,0.52126,0.54125,0.25085,2.11988,1.29287,1.08134,0.000275084,0.000275084,0.000275084
116,414.701,1.71396,1.07235,0.93246,0.8184,0.50034,0.53725,0.24707,2.1527,1.30194,1.09064,0.000267751,0.000267751,0.000267751
117,418.262,1.74112,1.07156,0.92752,0.82216,0.5046,0.54208,0.26002,2.10284,1.28146,1.07274,0.000260418,0.000260418,0.000260418
118,421.857,1.75133,1.10069,0.91475,0.86095,0.46308,0.53106,0.25524,2.02659,1.25922,1.06594,0.000253086,0.000253086,0.000253086
119,425.446,1.68808,1.0416,0.92356,0.81041,0.50429,0.52291,0.23513,2.05114,1.26757,1.07947,0.000245753,0.000245753,0.000245753
120,429.002,1.73895,1.086,0.92676,0.80487,0.51143,0.50823,0.22353,2.09656,1.2783,1.09406,0.000238421,0.000238421,0.000238421
121,432.569,1.73834,1.07414,0.91837,0.81498,0.50566,0.50441,0.22962,2.12124,1.27408,1.10181,0.000231088,0.000231088,0.000231088
122,436.167,1.75348,1.07456,0.92183,0.84144,0.49206,0.51286,0.24559,2.03259,1.2315,1.07809,0.000223755,0.000223755,0.000223755
123,439.739,1.74572,1.06191,0.9231,0.84378,0.49869,0.51478,0.25267,2.01264,1.23122,1.0715,0.000216423,0.000216423,0.000216423
124,443.28,1.70322,1.02717,0.92292,0.82303,0.50506,0.51265,0.25252,2.02384,1.23277,1.06775,0.00020909,0.00020909,0.00020909
125,446.877,1.64707,1.0485,0.90906,0.81796,0.50684,0.51523,0.24713,2.04504,1.24997,1.07276,0.000201758,0.000201758,0.000201758
126,450.488,1.68049,1.02141,0.91434,0.80947,0.51055,0.51164,0.24793,2.03085,1.23596,1.06457,0.000194425,0.000194425,0.000194425
127,454.018,1.6642,1.05296,0.9213,0.8056,0.51017,0.51239,0.24971,2.01623,1.2322,1.06781,0.000187092,0.000187092,0.000187092
128,457.62,1.69242,1.05474,0.91396,0.81746,0.49178,0.51352,0.24513,2.03081,1.23324,1.07361,0.00017976,0.00017976,0.00017976
129,461.157,1.70329,1.05422,0.91943,0.83843,0.47924,0.51419,0.24571,2.05722,1.22833,1.07776,0.000172427,0.000172427,0.000172427
130,464.705,1.64737,1.03973,0.91033,0.80173,0.51135,0.51697,0.25915,2.03945,1.22923,1.06581,0.000165095,0.000165095,0.000165095
131,468.218,1.63124,1.0453,0.9112,0.80158,0.5106,0.51707,0.26202,2.03618,1.22739,1.05988,0.000157762,0.000157762,0.000157762
132,471.786,1.62705,1.04141,0.91617,0.80378,0.50849,0.51629,0.25956,2.02831,1.22641,1.05741,0.000150429,0.000150429,0.000150429
133,475.422,1.67556,1.04107,0.90501,0.80128,0.50621,0.51235,0.2535,2.02512,1.22164,1.05948,0.000143097,0.000143097,0.000143097
134,480.772,1.64389,1.01589,0.91199,0.79855,0.50601,0.52773,0.26439,2.01503,1.20981,1.05836,0.000135764,0.000135764,0.000135764
135,484.335,1.65291,1.02727,0.91034,0.81481,0.49871,0.52839,0.26458,2.01944,1.20984,1.05575,0.000128432,0.000128432,0.000128432
136,487.92,1.68273,1.05906,0.92228,0.82193,0.50129,0.53033,0.26023,2.018,1.22125,1.05589,0.000121099,0.000121099,0.000121099
137,491.489,1.67568,1.05314,0.91235,0.82094,0.50034,0.52878,0.25546,2.03469,1.235,1.05886,0.000113766,0.000113766,0.000113766
138,495.121,1.71161,1.05257,0.91957,0.82767,0.48627,0.52357,0.25612,2.04283,1.23598,1.05799,0.000106434,0.000106434,0.000106434
139,498.631,1.64434,1.01585,0.91576,0.83945,0.49925,0.52232,0.26472,2.03152,1.23211,1.05469,9.91012e-05,9.91012e-05,9.91012e-05
140,502.253,1.67789,1.04119,0.91019,0.82934,0.50505,0.5234,0.26608,2.02794,1.22688,1.05813,9.17686e-05,9.17686e-05,9.17686e-05
141,506.709,1.68823,1.20519,0.9268,0.83828,0.49153,0.50846,0.25651,2.02416,1.23157,1.06062,8.4436e-05,8.4436e-05,8.4436e-05
142,510.109,1.75643,1.22969,0.92487,0.86345,0.46144,0.50757,0.24563,2.03044,1.25773,1.07011,7.71034e-05,7.71034e-05,7.71034e-05
143,513.449,1.72132,1.23478,0.92085,0.82679,0.47506,0.50194,0.24238,2.04452,1.2572,1.08028,6.97708e-05,6.97708e-05,6.97708e-05
144,516.796,1.65836,1.14543,0.92093,0.8514,0.4561,0.50113,0.23765,2.02984,1.26248,1.07424,6.24382e-05,6.24382e-05,6.24382e-05
145,520.141,1.70338,1.16199,0.9313,0.86288,0.45239,0.49812,0.23944,2.03155,1.26892,1.06817,5.51056e-05,5.51056e-05,5.51056e-05
146,523.522,1.65559,1.12333,0.91802,0.81231,0.46663,0.49312,0.23828,2.03105,1.26322,1.06803,4.7773e-05,4.7773e-05,4.7773e-05
147,526.876,1.67517,1.12694,0.93023,0.84274,0.48542,0.51049,0.24086,2.02919,1.2518,1.0651,4.04404e-05,4.04404e-05,4.04404e-05
148,530.238,1.62683,1.09853,0.91529,0.84141,0.49106,0.50541,0.23873,2.02581,1.25236,1.06363,3.31078e-05,3.31078e-05,3.31078e-05
149,533.602,1.68612,1.1544,0.93012,0.83961,0.49204,0.5142,0.24276,2.02694,1.24549,1.06097,2.57752e-05,2.57752e-05,2.57752e-05
150,536.998,1.68158,1.14766,0.91509,0.82933,0.49339,0.51275,0.24521,2.02313,1.23649,1.06123,1.84426e-05,1.84426e-05,1.84426e-05
